input_name,input_url,profile_name,first_name,last_name,profile_url,secondary_occupation,sub_speciality_occupations,main_primary_occupation,job_title,alternative_job_title,address,city,state,active_certifications_licenses,other_licenses,board_certification,screenshot_file,scrape_status,scrape_notes
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Ziad A. Ali,Ziad,Ali,https://www.doximity.com/pub/ziad-ali-md,Oral & Maxillofacial Surgery,,,Oral & MaxilloFacial Surgery,Oral & MaxilloFacial Surgery,"6845 Elm St Ste 225, McLean, VA 22101",McLean,VA,"MD State Medical License [2009 - 2027], DC State Medical License [2007 - 2026], VA State Medical License [2009 - 2026]","McGovern Medical School at UTHealth - Class of 2005, Intravascular Imaging During PCI: Should Cardiologists Choose IVUS or OCT? - September 16th, 2024, EVOLUT LOW RISK: Self-Expanding TAVR vs. Surgery at Six Years in Low-Risk Patients with AS - February 17th, 2026",NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Ziad_Ali_ziad-ali-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Michael G Allard,Michael,Allard,https://www.doximity.com/pub/michael-allard-md,Oral & Maxillofacial Surgery,,,MD,Physician,"18555 N 79th Ave, A103, Glendale, AZ 85308",Glendale,AZ,AZ State Medical License [2000 - 2028],Wayne State University School of Medicine - Class of 1998,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Michael_Allard_michael-allard-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Leonard Franklin Allen,Leonard,Allen,https://www.doximity.com/pub/leonard-allen-md,Oral & Maxillofacial Surgery,,,MD,Physician,"2422 Double Churches Rd, Columbus, GA 31909",Columbus,GA,"WV State Medical License [1997 - 2027], SC State Medical License [2015 - 2027], GA State Medical License [2016 - 2027], OH State Medical License [2024 - 2027]",LSU School of Medicine in Shreveport - Class of 1993,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Leonard_Allen_leonard-allen-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Ami Amini-Salari,Ami,Amini-Salari,https://www.doximity.com/pub/ami-amini-salari-md,Oral & Maxillofacial Surgery,Facial Cosmetic Surgery,Facial Cosmetic Surgery,Oral & Maxillofacial Surgery,Oral & Maxillofacial Surgery,"3 Centre Plaza, Suite 310, Boston, MA 02108",Boston,MA,MA State Medical License [2019 - 2028],Harvard Medical School - Class of 2017,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Ami_Amini-Salari_ami-amini-salari-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Saar Amrani,Saar,Amrani,https://www.doximity.com/pub/saar-amrani-md,Oral & Maxillofacial Surgery,,,MD,Physician,"1610 E 19th St, Brooklyn, NY 11229",Brooklyn,NY,NY State Medical License [2009 - 2026],Icahn School of Medicine at Mount Sinai - Class of 2006,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Saar_Amrani_saar-amrani-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,George E Anastassov,George,Anastassov,https://www.doximity.com/pub/george-anastassov-md,Oral & Maxillofacial Surgery,,,Maxillofacial Surgery Services,Maxillofacial Surgery Services,"18 E 50th St, 5 floor, New York, NY 10022",New York,NY,,"Medical University of Sofia FOM - Class of 1987, Cannabis Gum: Would You Try Chewing Your Way to Pain Relief? - June 26th, 2019, The CBD Oral Care Market Appears Promising, but Lacks Conclusive Studies - May 22nd, 2019, CBD Chewing Gum: Does It Actually Work? - October 10th, 2018",NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\George_Anastassov_george-anastassov-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Clark D Andelin,Clark,Andelin,https://www.doximity.com/pub/clark-andelin-md-bc965782,Oral & Maxillofacial Surgery,,,MD,Physician,"792 College Pkwy, Ste 307, Colchester, VT 05446",Colchester,VT,VT State Medical License [2016 - 2027],Perelman School of Medicine at the University of Pennsylvania - Class of 2014,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Clark_Andelin_clark-andelin-md-bc965782.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Benjamin James Anderson,Benjamin,Anderson,https://www.doximity.com/pub/benjamin-anderson-md-a7df2f5d,Oral & Maxillofacial Surgery,,,MD,Physician,"14625 California St, Omaha, NE 68154",Omaha,NE,"MS State Medical License [2009 - Present], AZ State Medical License [2025 - 2028], NE State Medical License [2008 - 2027]",University of Nebraska College of Medicine - Class of 2008,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Benjamin_Anderson_benjamin-anderson-md-a7df2f5d.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,David Lee Anderson,David,Anderson,https://www.doximity.com/pub/david-anderson-md-09b1752e,Oral & Maxillofacial Surgery,,,MD,Physician,"2081 W Ridge Rd, Suite 101, Rochester, NY 14626",Rochester,NY,,Icahn School of Medicine at Mount Sinai - Class of 1997,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\David_Anderson_david-anderson-md-09b1752e.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Keon Anderson,Keon,Anderson,https://www.doximity.com/pub/keon-anderson-md,Oral & Maxillofacial Surgery,,,MD,Physician,"100 North Lamar Street, Fort Worth, TX 76102",Fort Worth,TX,,Other - Class of 2015,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Keon_Anderson_keon-anderson-md.png,ok,
